Unnamed: 0,area,mean_intensity,minor_axis_length,major_axis_length,eccentricity,extent,feret_diameter_max,equivalent_diameter_area,bbox-0,bbox-1,bbox-2,bbox-3,UMAP1,UMAP2,selection
38,233,193.1673819742489,15.739524565306647,18.87938833500705,0.5522353406830317,0.7664473684210527,19.92485884517128,17.22396045987371,138,59,157,75,7.235056,6.8178306,False
39,164,184.6341463414634,12.56394902505307,16.627804702922187,0.6550347140601438,0.7884615384615384,17.46424919657298,14.450303987687134,149,182,165,195,8.509434,7.9878154,True
40,394,181.4010152284264,19.397477774722876,25.916249721084466,0.6631711613375763,0.7786561264822134,26.627053911388696,22.39768694811261,153,125,175,148,8.224224,5.4369955,False
41,411,200.2530413625304,20.479550857759328,25.62850227470542,0.6012077394082627,0.7784090909090909,26.92582403567252,22.875783109789968,157,5,181,27,6.362722,4.713548,False
42,235,189.1404255319149,16.093272002895894,18.630718986350654,0.5038296138528644,0.8159722222222222,19.313207915827967,17.297725082009,158,206,176,222,7.8390102,7.033742,False
43,375,195.49866666666668,19.103890377422527,25.022467273381,0.6458438935284438,0.7894736842105263,25.495097567963924,21.850968611841584,160,35,185,54,6.897752,5.0791287,False
44,654,199.70642201834863,27.176615601714733,30.91464637071504,0.4766642254326547,0.8074074074074075,32.31098884280702,28.856518540128786,166,167,196,194,6.486541,3.4465945,False
45,376,208.6382978723404,20.552666083794165,23.33806121112725,0.4737672323742954,0.7768595041322314,24.596747752497688,21.88008383942852,174,222,196,244,5.575354,4.5675335,False
46,579,200.64939550949916,26.48486595300526,27.88400105966965,0.3127878521170761,0.7953296703296703,29.154759474226505,27.151532118863187,185,116,211,144,6.2550654,3.6885567,False
47,64,190.25,5.354655466624678,15.92559386125825,0.9417800597138049,0.8,16.0312195418814,9.0270333367641,193,251,209,256,9.336916,7.1866527,True
48,161,183.9503105590062,12.610918531456493,16.27492152554619,0.6321228767441678,0.7740384615384616,17.08800749063506,14.317526556719258,195,200,211,213,8.805832,7.5831203,True
49,457,168.21006564551422,16.926257928484908,34.69368841598603,0.8729123000990983,0.6924242424242424,34.20526275297414,24.121991458915023,199,17,232,37,8.501866,4.674344,False
50,625,217.8944,24.62499327895847,32.37930683030831,0.6493187451971777,0.7183908045977011,32.7566787083184,28.209479177387816,199,89,229,118,5.413595,3.461746,False
51,535,189.93644859813085,22.79510500996419,29.89822909385258,0.6470786560343395,0.7753623188405797,30.59411708155671,26.099485750361293,203,51,233,74,7.6264944,4.4966855,False
52,205,199.18048780487808,11.210767526308503,24.802925797492534,0.8920211022698601,0.7454545454545455,25.179356624028344,16.15593100600236,214,0,239,11,6.600635,6.095539,False
53,562,215.9288256227758,26.01253769845664,27.607522591104107,0.3349766227628411,0.771978021978022,28.861739379323623,26.749964937194992,214,220,240,248,5.188037,3.7791824,False
54,845,198.2958579881657,26.478859082400035,40.97728756691501,0.7631818305194142,0.7824074074074074,40.79215610874228,32.80072278626208,217,161,244,201,7.443789,2.8851368,False
55,280,189.8,16.750817597358537,21.30431372491053,0.617890544650447,0.7486631016042781,22.360679774997894,18.881394877652596,223,130,245,147,7.649149,6.221449,False
56,211,185.0616113744076,14.52276229871153,18.489137571164186,0.6188929088185002,0.7814814814814814,18.97366596101028,16.39065416446578,232,39,250,54,8.1932955,7.548333,True
57,78,185.23076923076923,6.028638098495415,17.579799274528927,0.9393610122507678,0.7222222222222222,18.027756377319943,9.965574970333758,248,170,254,188,9.280631,7.3990693,True
58,86,183.72093023255812,5.426871023944166,21.26142656644072,0.9668764311914048,0.7818181818181819,22.0,10.464157913908982,249,117,254,139,9.278776,7.508956,True
59,51,190.4313725490196,5.032413514624027,13.742079495416707,0.9305343351231302,0.7285714285714285,14.0356688476182,8.058239062071396,249,228,254,242,9.683874,7.412987,True
60,46,175.30434782608697,3.803981783478496,15.948714074338104,0.9711392099384112,0.7666666666666667,15.033296378372908,7.653039857325812,250,67,254,82,9.5723915,7.931814,True
