 ;Area;Mean;StdDev;Min;Max;X;Y;XM;YM;Major;Minor;Angle;%Area;Type
363;182;733.610;65.082;588;893;408.440;475.341;408.411;475.364;19.330;11.988;177.870;100;A
364;182;771.159;149.542;576;1441;159.225;478.549;159.016;478.474;21.415;10.821;148.910;100;A
365;6;750.333;58.555;697;827;171.000;471.500;171.032;471.517;3.385;2.257;90.000;100;A
366;8;778.875;54.025;725;857;266.625;471.750;266.630;471.771;4.444;2.292;125.355;100;B
367;32;744.750;82.313;601;909;313.375;474.438;313.392;474.437;6.775;6.014;45.524;100;A
368;165;782.091;86.912;617;1085;325.803;480.591;325.714;480.656;16.212;12.958;32.243;100;A
369;85;746.106;108.574;556;1146;106.324;477.218;106.299;477.210;11.125;9.728;179.721;100;A
370;75;763.013;59.346;639;874;292.673;476.900;292.690;476.880;10.746;8.887;17.459;100;B
371;98;743.755;69.588;585;928;260.786;481.398;260.800;481.392;15.658;7.969;8.731;100;A
372;41;708.537;51.484;611;807;14.012;481.110;14.039;481.099;8.660;6.028;104.967;100;A
373;2;749.000;141.421;649;849;455.500;478.000;455.500;477.933;2.257;1.128;90.000;100;A
374;5;688.400;54.340;603;747;68.700;478.900;68.693;478.926;3.144;2.025;161.565;100;A
375;41;761.220;76.213;596;917;345.720;482.695;345.690;482.638;8.927;5.848;126.097;100;A
376;99;753.545;88.039;574;1079;439.581;488.490;439.567;488.566;16.692;7.552;86.205;100;B
377;2;820.500;47.376;787;854;56.000;483.500;56.020;483.500;2.257;1.128;0;100;B
378;63;741.222;80.823;601;907;185.198;489.214;185.192;489.249;12.776;6.278;72.786;100;B
379;45;703.622;69.027;603;870;26.211;488.478;26.230;488.469;7.811;7.336;138.020;100;B
380;5;740.400;82.099;645;861;403.900;487.300;403.881;487.262;3.144;2.025;71.565;100;B
381;20;760.900;61.119;655;876;339.400;489.300;339.390;489.310;5.392;4.723;116.565;100;B
382;45;734.356;68.637;575;867;171.500;494.789;171.492;494.739;14.630;3.916;95.698;100;B
383;94;746.617;85.198;550;1021;194.032;498.223;194.014;498.239;17.295;6.920;52.720;100;B
384;35;776.257;74.746;611;961;268.957;493.586;268.977;;;5.990;111.193;100;A
385;35;739.286;;593;928;291.871;493.843;291.871;493.806;;5.352;79.368;100;A
386;14;736.143;81.533;646;902;315.000;493.000;314.989;493.003;;3.676;45.000;100;A
387;152;801.599;111.328;582;1263;348.487;497.632;348.451;497.675;17.773;10.889;11.829;100;A
388;17;742.706;69.624;620;884;420.500;496.382;420.513;;;3.663;49.457;100;A
389;60;758.033;77.309;601;947;259.000;499.300;258.990;499.289;9.476;8.062;90.000;100;A
390;12;714.833;67.294;551;785;240.167;498.167;240.179;498.148;4.606;3.317;168.690;100;A
391;23;695.043;67.356;611;846;49.891;503.022;49.882;502.979;6.454;4.537;73.243;100;A
